Assembly Part,Description,SC,Rev,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,Description,SC,Rev,S/UOM,P/UOM,Item#,Qty,Option Flag,Product#,Product Price,Effective Date/Rev,Inactive Date/Rev,Reference
DAT100          ,DarkStar Aggregation 100G,M, -,10002-13406-00 , , , , , , , , , , , , , , , , , , , , ,"DAT100-8 SYSTEM ASSY,CRPS,1U",X, -,EA,EA,0,1,Yes,SYS-13406-00-00 ,898989.8989,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, ,20006-00004-01 , , , , , , , , , , , , , , , , , , , ,"CRPS POWER ASSY, LONG",SI, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , ,30001-00114-01 , , , , , , , , , , , , , , , , , , ,"PCA,POWER,CRPS",SI, -,EA,EA,0,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,40003-00114-01 , , , , , , , , , , , , , , , , , ,"PCB,POWER,CRPS",P, -,EA,EA,1,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50007-00031 , , , , , , , , , , , , , , , , , ,"SCHOTTKY,40V,5A,DO-214AB",P, -,EA,EA,2,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00043 , , , , , , , , , , , , , , , , , ,"0.33uF,16V,X7R,0805,10%",P, -,EA,EA,3,4,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00048 , , , , , , , , , , , , , , , , , ,"2200pF,16V,X7R,0201,10%",P, -,EA,EA,4,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00091 , , , , , , , , , , , , , , , , , ,"0.1uF,25V,X5R,0603,10%",P, -,EA,EA,5,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00095 , , , , , , , , , , , , , , , , , ,"0.1uF,6.3V,X5R,0201,10%",P, -,EA,EA,6,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50008-00124 , , , , , , , , , , , , , , , , , ,"22UF,25V,X5R,0805,20%",P, -,EA,EA,7,5,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00138 , , , , , , , , , , , , , , , , , ,"0,0.063W,5%,0402",P, -,EA,EA,8,3,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00206 , , , , , , , , , , , , , , , , , ,"2K,0.063W,1%,0402",P, -,EA,EA,9,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00242 , , , , , , , , , , , , , , , , , ,"4.7K,0.063W,5%,0402",P, -,EA,EA,10,4,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00250 , , , , , , , , , , , , , , , , , ,"270,0.063W,5%,0402",P, -,EA,EA,11,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50009-00301 , , , , , , , , , , , , , , , , , ,"23.7K,0.063W,1%,0402",P, -,EA,EA,12,2,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00339 , , , , , , , , , , , , , , , , , ,"Shrd HDR,2mm,2x12,VRT,TH,30Au",P, -,EA,EA,13,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50013-00395 , , , , , , , , , , , , , , , , , ,"PWR CONN,0.1"",2X25,VRT,TH,30AU",P, -,EA,EA,14,1,No ,,,01/01/1900,12/31/2099,
DAT100          ,DarkStar Aggregation 100G,M, -, , , ,50033-00063 , , , , , , , , , , , , , , , , , ,"3-14.4VDC to .45-5.5VDC,3A,Dig",P, -,EA,EA,15,1,No ,,,01/01/1900,12/31/2099,
